COD_DISBAR,BARRIOS,ANIO,NRO_HOSPEDAJES
127,PRADOLONGO,2019,41
131,ENTREVÍAS,2019,25
132,SAN DIEGO,2016,3
132,SAN DIEGO,2018,9
132,SAN DIEGO,2019,123
133,PALOMERAS BAJAS,2018,8
133,PALOMERAS BAJAS,2019,45
134,PALOMERAS SURESTE,2016,1
134,PALOMERAS SURESTE,2018,2
134,PALOMERAS SURESTE,2019,32
135,PORTAZGO,2018,5
135,PORTAZGO,2019,22
136,NUMANCIA,2016,1
136,NUMANCIA,2018,16
136,NUMANCIA,2019,128
141,PAVONES,2018,1
141,PAVONES,2019,3
143,MARROQUINA,2018,2
143,MARROQUINA,2019,14
144,MEDIA LEGUA,2019,18
145,FONTARRÓN,2018,5
145,FONTARRÓN,2019,19
146,VINATEROS,2019,14
151,VENTAS,2018,13
151,VENTAS,2019,98
152,PUEBLO NUEVO,2018,7
152,PUEBLO NUEVO,2019,72
153,QUINTANA,2016,1
153,QUINTANA,2018,5
153,QUINTANA,2019,70
154,CONCEPCIÓN,2016,1
154,CONCEPCIÓN,2018,7
154,CONCEPCIÓN,2019,62
155,SAN PASCUAL,2016,1
155,SAN PASCUAL,2018,3
155,SAN PASCUAL,2019,15
156,SAN JUAN BAUTISTA,2018,2
156,SAN JUAN BAUTISTA,2019,18
157,COLINA,2018,1
157,COLINA,2019,12
158,ATALAYA,2019,1
159,COSTILLARES,2016,3
159,COSTILLARES,2019,16
161,PALOMAS,2018,1
161,PALOMAS,2019,15
162,PIOVERA,2018,2
162,PIOVERA,2019,11
163,CANILLAS,2018,5
163,CANILLAS,2019,78
164,PINAR DEL REY,2018,6
164,PINAR DEL REY,2019,50
165,APÓSTOL SANTIAGO,2018,1
165,APÓSTOL SANTIAGO,2019,8
166,VALDEFUENTES,2016,1
166,VALDEFUENTES,2018,6
166,VALDEFUENTES,2019,56
172,SAN CRISTÓBAL,2019,13
173,BUTARQUE,2018,2
173,BUTARQUE,2019,10
174,LOS ROSALES,2018,3
174,LOS ROSALES,2019,40
175,LOS ÁNGELES,2018,2
175,LOS ÁNGELES,2019,20
181,CASCO HISTÓRICO DE VALLECAS,2016,2
181,CASCO HISTÓRICO DE VALLECAS,2018,5
181,CASCO HISTÓRICO DE VALLECAS,2019,52
182,SANTA EUGENIA,2019,6
191,CASCO HISTÓRICO DE VICÁLVARO,2016,1
191,CASCO HISTÓRICO DE VICÁLVARO,2018,1
191,CASCO HISTÓRICO DE VICÁLVARO,2019,18
201,SIMANCAS,2016,1
201,SIMANCAS,2018,3
201,SIMANCAS,2019,53
202,HELLÍN,2019,11
203,AMPOSTA,2019,5
204,ARCOS,2016,1
204,ARCOS,2018,3
204,ARCOS,2019,21
205,ROSAS,2018,1
205,ROSAS,2019,30
206,REJAS,2018,4
206,REJAS,2019,34
207,CANILLEJAS,2016,1
207,CANILLEJAS,2018,1
207,CANILLEJAS,2019,30
208,SALVADOR,2016,1
208,SALVADOR,2018,1
208,SALVADOR,2019,16
211,ALAMEDA DE OSUNA,2018,4
211,ALAMEDA DE OSUNA,2019,24
212,AEROPUERTO,2019,11
213,CASCO HISTÓRICO DE BARAJAS,2016,1
213,CASCO HISTÓRICO DE BARAJAS,2019,19
214,TIMÓN,2018,3
214,TIMÓN,2019,35
215,CORRALEJOS,2019,7
