COD_DISBAR,BARRIOS,NRO_MEDIA_PERSONAS,ANIO,LATITUD,LONGITUD
166,VALDEFUENTES,2.85,2016,4482753.289,446176.0779
172,SAN CRISTÓBAL,3.03,2016,4465820.907,441533.8022
173,BUTARQUE,2.83,2016,4465394.096,442559.7779
174,LOS ROSALES,2.82,2016,4467464.76,441536.5956
175,LOS ÁNGELES,2.57,2016,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,2.54,2016,4466332.267,447496.1334
182,SANTA EUGENIA,2.77,2016,4470494.392,448110.1432
191,CASCO HISTÓRICO DE VICÁLVARO,2.84,2016,4471000.988,450789.392
201,SIMANCAS,2.5,2016,4476263.737,446981.6721
202,HELLÍN,2.39,2016,4475772.544,447680.4837
203,AMPOSTA,2.49,2016,4475241.334,447234.3454
204,ARCOS,2.66,2016,4474693.643,447607.4973
205,ROSAS,2.89,2016,4475395.532,449590.4285
206,REJAS,2.44,2016,4477317.169,451648.3991
207,CANILLEJAS,2.64,2016,4477135.693,448224.083
208,SALVADOR,2.68,2016,4477373.192,446491.5939
211,ALAMEDA DE OSUNA,2.73,2016,4478581.448,449818.2184
212,AEROPUERTO,2.6,2016,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,2.41,2016,4480530.185,450931.3676
214,TIMÓN,2.63,2016,4480810.557,448842.3002
215,CORRALEJOS,2.99,2016,4479457.295,448527.2781
11,PALACIO,2.01,2018,4474110.875,439417.7914
12,EMBAJADORES,2.04,2018,4473417.211,440397.1764
13,CORTES,1.94,2018,4474035.577,440880.1521
14,JUSTICIA,1.98,2018,4475014.208,440900.7625
15,UNIVERSIDAD,1.96,2018,4475244.247,440020.8477
16,SOL,1.93,2018,4474314.564,440226.8442
21,IMPERIAL,2.36,2018,4473089.616,439045.6199
24,LEGAZPI,2.57,2018,4471151.447,441682.9396
26,PALOS DE MOGUER,2.2,2018,4472774.286,441057.6445
27,ATOCHA,2.77,2018,4472353.007,442131.2346
31,PACÍFICO,2.3,2018,4472859.079,442407.5013
32,ADELFAS,2.42,2018,4472494.747,443062.2345
34,IBIZA,2.32,2018,4474469.277,442791.7959
36,NIÑO JESÚS,2.71,2018,4473660.907,442862.905
41,RECOLETOS,2.36,2018,4475110.43,441820.8979
42,GOYA,2.25,2018,4475153.753,442789.9119
43,FUENTE DEL BERRO,2.26,2018,4475116.489,443691.2602
44,GUINDALERA,2.36,2018,4476402.061,443463.5845
45,LISTA,2.27,2018,4475927.641,442676.6687
46,CASTELLANA,2.47,2018,4476104.298,441959.5528
51,EL VISO,2.83,2018,4477360.964,441927.2958
52,PROSPERIDAD,2.31,2018,4477279.652,443241.5164
53,CIUDAD JARDÍN,2.34,2018,4477733.182,442929.7851
54,HISPANOAMÉRICA,2.55,2018,4478520.651,442584.7337
55,NUEVA ESPAÑA,2.67,2018,4479342.236,442506.6745
56,CASTILLA,2.56,2018,4480625.699,442382.2751
61,BELLAS VISTAS,2.44,2018,4478217.699,439996.5425
62,CUATRO CAMINOS,2.3,2018,4478108.124,440893.969
63,CASTILLEJOS,2.2,2018,4479092.74,441146.7116
64,ALMENARA,2.41,2018,4480229.372,441142.6001
65,VALDEACEDERAS,2.44,2018,4479832.029,440304.6074
66,BERRUGUETE,2.43,2018,4479011.421,440230.3974
71,GAZTAMBIDE,2.19,2018,4476283.322,439389.8945
72,ARAPILES,2.19,2018,4476214.595,439947.5584
73,TRAFALGAR,2.11,2018,4476037.29,440530.8517
74,ALMAGRO,2.46,2018,4476032.059,441174.9953
75,RÍOS ROSAS,2.25,2018,4477096.745,440826.6665
76,VALLEHERMOSO,2.41,2018,4477158.887,439682.3814
81,EL PARDO,2.62,2018,4489409.578,435018.7103
82,FUENTELAREINA,2.92,2018,4481421.762,437127.6497
83,PEÑAGRANDE,2.63,2018,4481152.656,438480.3153
85,LA PAZ,2.69,2018,4481394.724,440957.8603
86,VALVERDE,2.75,2018,4483501.173,442483.6118
87,MIRASIERRA,3.1,2018,4483094.181,439024.2924
88,EL GOLOSO,3.27,2018,4487307.227,440716.0024
91,CASA DE CAMPO,2.31,2018,4475050.323,436118.4975
92,ARGÜELLES,2.31,2018,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,2.64,2018,4478627.02,437391.5065
94,VALDEZARZA,2.43,2018,4479644.899,439188.6628
95,VALDEMARÍN,3.51,2018,4480009.063,433968.0416
96,EL PLANTÍO,3.22,2018,4480219.592,430409.7127
97,ARAVACA,3.13,2018,4478516.428,433939.3352
101,LOS CÁRMENES,2.64,2018,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,2.38,2018,4473487.258,437907.9825
103,LUCERO,2.54,2018,4472679.645,436327.8871
104,ALUCHE,2.49,2018,4471531.816,435779.5365
105,CAMPAMENTO,2.59,2018,4470817.836,431786.0869
106,CUATRO VIENTOS,2.6,2018,4468973.502,433434.5775
107,LAS ÁGUILAS,2.47,2018,4470420.122,434547.9376
111,COMILLAS,2.35,2018,4471676.723,439576.9792
112,OPAÑEL,2.5,2018,4471320.131,438741.1131
113,SAN ISIDRO,2.57,2018,4472031.606,438190.5428
114,VISTA ALEGRE,2.63,2018,4470681.208,436700.7182
115,PUERTA BONITA,2.75,2018,4470159.472,437262.2706
116,BUENAVISTA,2.73,2018,4468769.588,436656.9012
117,ABRANTES,2.73,2018,4470074.329,438358.4198
121,ORCASITAS,2.68,2018,4468916.31,439516.2653
122,ORCASUR,2.89,2018,4469305.319,440733.1193
123,SAN FERMÍN,2.83,2018,4469120.886,441499.985
124,ALMENDRALES,2.75,2018,4470576.407,440645.9665
125,MOSCARDÓ,2.66,2018,4471173.407,440009.8419
126,ZOFÍO,2.76,2018,4470110.376,439279.8576
127,PRADOLONGO,2.9,2018,4469968.652,439974.4688
131,ENTREVÍAS,2.69,2018,4469574.278,442858.5724
132,SAN DIEGO,2.58,2018,4471262.193,443316.4678
133,PALOMERAS BAJAS,2.66,2018,4470671.33,444074.8694
134,PALOMERAS SURESTE,2.65,2018,4470708.716,445907.486
135,PORTAZGO,2.61,2018,4471314.521,444982.7317
136,NUMANCIA,2.59,2018,4472306.995,444116.7652
141,PAVONES,2.78,2018,4472183.36,446353.3523
142,HORCAJO,2.93,2018,4473295.298,446804.3855
143,MARROQUINA,2.53,2018,4473543.376,445646.4672
144,MEDIA LEGUA,2.49,2018,4473682.217,444272.189
145,FONTARRÓN,2.47,2018,4472512.703,445115.9638
146,VINATEROS,2.33,2018,4472936.191,445482.8128
151,VENTAS,2.42,2018,4474850.803,445079.4926
152,PUEBLO NUEVO,2.58,2018,4475266.901,446095.6831
153,QUINTANA,2.37,2018,4476462.964,445289.7605
155,SAN PASCUAL,2.41,2018,4477117.637,444582.4
156,SAN JUAN BAUTISTA,2.58,2018,4477988.461,444343.151
157,COLINA,2.49,2018,4478807.34,444014.4325
158,ATALAYA,2.81,2018,4479501.192,443626.7881
159,COSTILLARES,2.78,2018,4480877.84,443334.1197
161,PALOMAS,3.06,2018,4478175.942,447754.9382
162,PIOVERA,3.04,2018,4478532.529,446151.4886
163,CANILLAS,2.55,2018,4479433.42,445426.2189
164,PINAR DEL REY,2.47,2018,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,2.65,2018,4480844.351,444105.2521
166,VALDEFUENTES,2.88,2018,4482753.289,446176.0779
172,SAN CRISTÓBAL,3.06,2018,4465820.907,441533.8022
173,BUTARQUE,2.86,2018,4465394.096,442559.7779
174,LOS ROSALES,2.82,2018,4467464.76,441536.5956
175,LOS ÁNGELES,2.58,2018,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,2.7,2018,4466332.267,447496.1334
182,SANTA EUGENIA,2.74,2018,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,2.44,2018,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,2.62,2018,4471000.988,450789.392
192,VALDEBERNARDO,2.9,2018,4471960.93,447585.5543
193,VALDERRIVAS,2.88,2018,4472194.558,448859.2798
201,SIMANCAS,2.54,2018,4476263.737,446981.6721
202,HELLÍN,2.43,2018,4475772.544,447680.4837
203,AMPOSTA,2.5,2018,4475241.334,447234.3454
204,ARCOS,2.67,2018,4474693.643,447607.4973
205,ROSAS,2.87,2018,4475395.532,449590.4285
206,REJAS,2.48,2018,4477317.169,451648.3991
207,CANILLEJAS,2.61,2018,4477135.693,448224.083
211,ALAMEDA DE OSUNA,2.71,2018,4478581.448,449818.2184
212,AEROPUERTO,2.66,2018,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,2.39,2018,4480530.185,450931.3676
214,TIMÓN,2.67,2018,4480810.557,448842.3002
215,CORRALEJOS,2.96,2018,4479457.295,448527.2781
11,PALACIO,2.03,2019,4474110.875,439417.7914
12,EMBAJADORES,2.05,2019,4473417.211,440397.1764
13,CORTES,1.94,2019,4474035.577,440880.1521
14,JUSTICIA,2.0,2019,4475014.208,440900.7625
15,UNIVERSIDAD,1.96,2019,4475244.247,440020.8477
16,SOL,1.97,2019,4474314.564,440226.8442
21,IMPERIAL,2.36,2019,4473089.616,439045.6199
24,LEGAZPI,2.58,2019,4471151.447,441682.9396
26,PALOS DE MOGUER,2.19,2019,4472774.286,441057.6445
27,ATOCHA,2.77,2019,4472353.007,442131.2346
31,PACÍFICO,2.29,2019,4472859.079,442407.5013
32,ADELFAS,2.43,2019,4472494.747,443062.2345
34,IBIZA,2.34,2019,4474469.277,442791.7959
36,NIÑO JESÚS,2.72,2019,4473660.907,442862.905
41,RECOLETOS,2.36,2019,4475110.43,441820.8979
42,GOYA,2.24,2019,4475153.753,442789.9119
43,FUENTE DEL BERRO,2.27,2019,4475116.489,443691.2602
44,GUINDALERA,2.36,2019,4476402.061,443463.5845
45,LISTA,2.27,2019,4475927.641,442676.6687
46,CASTELLANA,2.48,2019,4476104.298,441959.5528
51,EL VISO,2.84,2019,4477360.964,441927.2958
52,PROSPERIDAD,2.3,2019,4477279.652,443241.5164
53,CIUDAD JARDÍN,2.33,2019,4477733.182,442929.7851
54,HISPANOAMÉRICA,2.56,2019,4478520.651,442584.7337
55,NUEVA ESPAÑA,2.67,2019,4479342.236,442506.6745
56,CASTILLA,2.54,2019,4480625.699,442382.2751
61,BELLAS VISTAS,2.46,2019,4478217.699,439996.5425
62,CUATRO CAMINOS,2.3,2019,4478108.124,440893.969
63,CASTILLEJOS,2.19,2019,4479092.74,441146.7116
64,ALMENARA,2.43,2019,4480229.372,441142.6001
65,VALDEACEDERAS,2.45,2019,4479832.029,440304.6074
66,BERRUGUETE,2.44,2019,4479011.421,440230.3974
71,GAZTAMBIDE,2.18,2019,4476283.322,439389.8945
72,ARAPILES,2.18,2019,4476214.595,439947.5584
73,TRAFALGAR,2.11,2019,4476037.29,440530.8517
74,ALMAGRO,2.45,2019,4476032.059,441174.9953
75,RÍOS ROSAS,2.26,2019,4477096.745,440826.6665
76,VALLEHERMOSO,2.41,2019,4477158.887,439682.3814
81,EL PARDO,2.63,2019,4489409.578,435018.7103
82,FUENTELAREINA,2.93,2019,4481421.762,437127.6497
83,PEÑAGRANDE,2.62,2019,4481152.656,438480.3153
85,LA PAZ,2.69,2019,4481394.724,440957.8603
86,VALVERDE,2.77,2019,4483501.173,442483.6118
87,MIRASIERRA,3.11,2019,4483094.181,439024.2924
88,EL GOLOSO,3.28,2019,4487307.227,440716.0024
91,CASA DE CAMPO,2.32,2019,4475050.323,436118.4975
92,ARGÜELLES,2.32,2019,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,2.65,2019,4478627.02,437391.5065
94,VALDEZARZA,2.43,2019,4479644.899,439188.6628
95,VALDEMARÍN,3.52,2019,4480009.063,433968.0416
96,EL PLANTÍO,3.28,2019,4480219.592,430409.7127
97,ARAVACA,3.15,2019,4478516.428,433939.3352
101,LOS CÁRMENES,2.64,2019,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,2.39,2019,4473487.258,437907.9825
103,LUCERO,2.55,2019,4472679.645,436327.8871
104,ALUCHE,2.49,2019,4471531.816,435779.5365
105,CAMPAMENTO,2.61,2019,4470817.836,431786.0869
106,CUATRO VIENTOS,2.62,2019,4468973.502,433434.5775
107,LAS ÁGUILAS,2.48,2019,4470420.122,434547.9376
111,COMILLAS,2.35,2019,4471676.723,439576.9792
112,OPAÑEL,2.52,2019,4471320.131,438741.1131
113,SAN ISIDRO,2.58,2019,4472031.606,438190.5428
114,VISTA ALEGRE,2.66,2019,4470681.208,436700.7182
115,PUERTA BONITA,2.79,2019,4470159.472,437262.2706
116,BUENAVISTA,2.74,2019,4468769.588,436656.9012
117,ABRANTES,2.79,2019,4470074.329,438358.4198
121,ORCASITAS,2.71,2019,4468916.31,439516.2653
122,ORCASUR,2.92,2019,4469305.319,440733.1193
123,SAN FERMÍN,2.86,2019,4469120.886,441499.985
124,ALMENDRALES,2.8,2019,4470576.407,440645.9665
125,MOSCARDÓ,2.7,2019,4471173.407,440009.8419
126,ZOFÍO,2.8,2019,4470110.376,439279.8576
127,PRADOLONGO,2.93,2019,4469968.652,439974.4688
131,ENTREVÍAS,2.74,2019,4469574.278,442858.5724
132,SAN DIEGO,2.63,2019,4471262.193,443316.4678
133,PALOMERAS BAJAS,2.68,2019,4470671.33,444074.8694
134,PALOMERAS SURESTE,2.66,2019,4470708.716,445907.486
135,PORTAZGO,2.63,2019,4471314.521,444982.7317
136,NUMANCIA,2.61,2019,4472306.995,444116.7652
141,PAVONES,2.78,2019,4472183.36,446353.3523
142,HORCAJO,2.93,2019,4473295.298,446804.3855
143,MARROQUINA,2.52,2019,4473543.376,445646.4672
144,MEDIA LEGUA,2.49,2019,4473682.217,444272.189
145,FONTARRÓN,2.5,2019,4472512.703,445115.9638
146,VINATEROS,2.34,2019,4472936.191,445482.8128
151,VENTAS,2.42,2019,4474850.803,445079.4926
152,PUEBLO NUEVO,2.6,2019,4475266.901,446095.6831
153,QUINTANA,2.38,2019,4476462.964,445289.7605
155,SAN PASCUAL,2.41,2019,4477117.637,444582.4
156,SAN JUAN BAUTISTA,2.57,2019,4477988.461,444343.151
157,COLINA,2.49,2019,4478807.34,444014.4325
158,ATALAYA,2.78,2019,4479501.192,443626.7881
159,COSTILLARES,2.77,2019,4480877.84,443334.1197
161,PALOMAS,3.1,2019,4478175.942,447754.9382
162,PIOVERA,3.06,2019,4478532.529,446151.4886
163,CANILLAS,2.53,2019,4479433.42,445426.2189
164,PINAR DEL REY,2.48,2019,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,2.66,2019,4480844.351,444105.2521
166,VALDEFUENTES,2.9,2019,4482753.289,446176.0779
172,SAN CRISTÓBAL,3.14,2019,4465820.907,441533.8022
173,BUTARQUE,2.86,2019,4465394.096,442559.7779
174,LOS ROSALES,2.85,2019,4467464.76,441536.5956
175,LOS ÁNGELES,2.59,2019,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,2.71,2019,4466332.267,447496.1334
182,SANTA EUGENIA,2.72,2019,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,2.48,2019,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,2.64,2019,4471000.988,450789.392
192,VALDEBERNARDO,2.89,2019,4471960.93,447585.5543
193,VALDERRIVAS,2.88,2019,4472194.558,448859.2798
201,SIMANCAS,2.57,2019,4476263.737,446981.6721
202,HELLÍN,2.48,2019,4475772.544,447680.4837
203,AMPOSTA,2.55,2019,4475241.334,447234.3454
204,ARCOS,2.7,2019,4474693.643,447607.4973
205,ROSAS,2.86,2019,4475395.532,449590.4285
206,REJAS,2.5,2019,4477317.169,451648.3991
207,CANILLEJAS,2.61,2019,4477135.693,448224.083
211,ALAMEDA DE OSUNA,2.69,2019,4478581.448,449818.2184
212,AEROPUERTO,2.69,2019,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,2.43,2019,4480530.185,450931.3676
214,TIMÓN,2.67,2019,4480810.557,448842.3002
215,CORRALEJOS,2.96,2019,4479457.295,448527.2781
