COD_DISBAR,BARRIOS,ANIO,NRO_TERRAZAS
116,BUENAVISTA,2019,52
117,ABRANTES,2016,3
117,ABRANTES,2018,22
117,ABRANTES,2019,23
121,ORCASITAS,2016,18
121,ORCASITAS,2018,25
121,ORCASITAS,2019,25
122,ORCASUR,2016,10
122,ORCASUR,2018,15
122,ORCASUR,2019,15
123,SAN FERMÍN,2016,14
123,SAN FERMÍN,2018,15
123,SAN FERMÍN,2019,15
124,ALMENDRALES,2016,10
124,ALMENDRALES,2018,12
124,ALMENDRALES,2019,12
125,MOSCARDÓ,2016,27
125,MOSCARDÓ,2018,30
125,MOSCARDÓ,2019,30
126,ZOFÍO,2016,6
126,ZOFÍO,2018,8
126,ZOFÍO,2019,8
127,PRADOLONGO,2016,6
127,PRADOLONGO,2018,8
127,PRADOLONGO,2019,8
131,ENTREVÍAS,2016,46
131,ENTREVÍAS,2018,55
131,ENTREVÍAS,2019,50
132,SAN DIEGO,2016,25
132,SAN DIEGO,2018,33
132,SAN DIEGO,2019,32
133,PALOMERAS BAJAS,2016,41
133,PALOMERAS BAJAS,2018,48
133,PALOMERAS BAJAS,2019,49
134,PALOMERAS SURESTE,2016,39
134,PALOMERAS SURESTE,2018,56
134,PALOMERAS SURESTE,2019,57
135,PORTAZGO,2016,45
135,PORTAZGO,2018,54
135,PORTAZGO,2019,48
136,NUMANCIA,2016,29
136,NUMANCIA,2018,36
136,NUMANCIA,2019,35
141,PAVONES,2016,14
141,PAVONES,2018,13
141,PAVONES,2019,13
142,HORCAJO,2016,7
142,HORCAJO,2018,8
142,HORCAJO,2019,8
143,MARROQUINA,2016,55
143,MARROQUINA,2018,55
143,MARROQUINA,2019,55
144,MEDIA LEGUA,2016,15
144,MEDIA LEGUA,2018,17
144,MEDIA LEGUA,2019,17
145,FONTARRÓN,2016,17
145,FONTARRÓN,2018,17
145,FONTARRÓN,2019,16
146,VINATEROS,2016,21
146,VINATEROS,2018,19
146,VINATEROS,2019,19
151,VENTAS,2016,41
151,VENTAS,2018,52
151,VENTAS,2019,54
152,PUEBLO NUEVO,2016,48
152,PUEBLO NUEVO,2018,53
152,PUEBLO NUEVO,2019,56
153,QUINTANA,2016,32
153,QUINTANA,2018,37
153,QUINTANA,2019,39
154,CONCEPCIÓN,2016,47
154,CONCEPCIÓN,2018,47
154,CONCEPCIÓN,2019,52
155,SAN PASCUAL,2016,7
155,SAN PASCUAL,2018,8
155,SAN PASCUAL,2019,9
156,SAN JUAN BAUTISTA,2016,8
156,SAN JUAN BAUTISTA,2018,9
156,SAN JUAN BAUTISTA,2019,10
157,COLINA,2016,5
157,COLINA,2018,5
157,COLINA,2019,5
159,COSTILLARES,2016,15
159,COSTILLARES,2018,16
159,COSTILLARES,2019,16
161,PALOMAS,2018,9
161,PALOMAS,2019,11
162,PIOVERA,2018,17
162,PIOVERA,2019,17
163,CANILLAS,2018,47
163,CANILLAS,2019,47
164,PINAR DEL REY,2018,50
164,PINAR DEL REY,2019,51
166,VALDEFUENTES,2016,1
166,VALDEFUENTES,2018,31
166,VALDEFUENTES,2019,33
172,SAN CRISTÓBAL,2016,18
172,SAN CRISTÓBAL,2018,22
172,SAN CRISTÓBAL,2019,25
173,BUTARQUE,2016,15
173,BUTARQUE,2018,19
173,BUTARQUE,2019,21
174,LOS ROSALES,2016,27
174,LOS ROSALES,2018,30
174,LOS ROSALES,2019,31
175,LOS ÁNGELES,2016,43
175,LOS ÁNGELES,2018,41
175,LOS ÁNGELES,2019,42
181,CASCO HISTÓRICO DE VALLECAS,2016,69
181,CASCO HISTÓRICO DE VALLECAS,2018,47
181,CASCO HISTÓRICO DE VALLECAS,2019,48
182,SANTA EUGENIA,2016,24
182,SANTA EUGENIA,2018,28
182,SANTA EUGENIA,2019,30
183,ENSANCHE DE VALLECAS,2018,41
183,ENSANCHE DE VALLECAS,2019,46
191,CASCO HISTÓRICO DE VICÁLVARO,2016,8
191,CASCO HISTÓRICO DE VICÁLVARO,2018,49
191,CASCO HISTÓRICO DE VICÁLVARO,2019,39
192,VALDEBERNARDO,2018,22
192,VALDEBERNARDO,2019,20
193,VALDERRIVAS,2018,8
193,VALDERRIVAS,2019,8
201,SIMANCAS,2016,46
201,SIMANCAS,2018,58
201,SIMANCAS,2019,61
202,HELLÍN,2016,4
202,HELLÍN,2018,5
202,HELLÍN,2019,5
203,AMPOSTA,2016,14
203,AMPOSTA,2018,17
203,AMPOSTA,2019,17
204,ARCOS,2016,22
204,ARCOS,2018,25
204,ARCOS,2019,27
205,ROSAS,2016,50
205,ROSAS,2018,59
205,ROSAS,2019,67
206,REJAS,2016,3
206,REJAS,2018,4
206,REJAS,2019,4
207,CANILLEJAS,2016,35
207,CANILLEJAS,2018,37
207,CANILLEJAS,2019,38
208,SALVADOR,2016,13
208,SALVADOR,2018,15
208,SALVADOR,2019,18
211,ALAMEDA DE OSUNA,2016,1
211,ALAMEDA DE OSUNA,2018,21
211,ALAMEDA DE OSUNA,2019,21
212,AEROPUERTO,2016,2
212,AEROPUERTO,2018,4
212,AEROPUERTO,2019,4
213,CASCO HISTÓRICO DE BARAJAS,2016,1
213,CASCO HISTÓRICO DE BARAJAS,2018,23
213,CASCO HISTÓRICO DE BARAJAS,2019,23
214,TIMÓN,2016,2
214,TIMÓN,2018,17
214,TIMÓN,2019,18
215,CORRALEJOS,2016,3
215,CORRALEJOS,2018,12
215,CORRALEJOS,2019,11
