COD_DISBAR,BARRIOS,RENTA_MEDIA,ANIO,LATITUD,LONGITUD
11,PALACIO,31912.67,2016,4474110.875,439417.7914
12,EMBAJADORES,23917.97,2016,4473417.211,440397.1764
13,CORTES,32410.56,2016,4474035.577,440880.1521
14,JUSTICIA,36413.54,2016,4475014.208,440900.7625
15,UNIVERSIDAD,28782.54,2016,4475244.247,440020.8477
16,SOL,27377.52,2016,4474314.564,440226.8442
21,IMPERIAL,39919.81,2016,4473089.616,439045.6199
22,ACACIAS,42748.8,2016,4472513.434,439982.8536
23,CHOPERA,30279.72,2016,4471808.825,440672.2536
24,LEGAZPI,45690.83,2016,4471151.447,441682.9396
25,DELICIAS,37010.01,2016,4472027.934,441453.464
26,PALOS DE MOGUER,32028.7,2016,4472774.286,441057.6445
27,ATOCHA,34606.59,2016,4472353.007,442131.2346
31,PACÍFICO,39953.74,2016,4472859.079,442407.5013
32,ADELFAS,43239.26,2016,4472494.747,443062.2345
33,ESTRELLA,56529.4,2016,4473931.01,443534.9304
34,IBIZA,43021.35,2016,4474469.277,442791.7959
35,JERÓNIMOS,61916.32,2016,4473905.687,441870.6698
36,NIÑO JESÚS,65003.19,2016,4473660.907,442862.905
41,RECOLETOS,78534.94,2016,4475110.43,441820.8979
42,GOYA,46913.76,2016,4475153.753,442789.9119
43,FUENTE DEL BERRO,38598.72,2016,4475116.489,443691.2602
44,GUINDALERA,44361.02,2016,4476402.061,443463.5845
45,LISTA,45891.16,2016,4475927.641,442676.6687
46,CASTELLANA,75552.7,2016,4476104.298,441959.5528
51,EL VISO,113836.83,2016,4477360.964,441927.2958
52,PROSPERIDAD,41623.79,2016,4477279.652,443241.5164
53,CIUDAD JARDÍN,41162.35,2016,4477733.182,442929.7851
54,HISPANOAMÉRICA,58862.06,2016,4478520.651,442584.7337
55,NUEVA ESPAÑA,73269.88,2016,4479342.236,442506.6745
56,CASTILLA,53214.44,2016,4480625.699,442382.2751
61,BELLAS VISTAS,29258.01,2016,4478217.699,439996.5425
62,CUATRO CAMINOS,40466.6,2016,4478108.124,440893.969
63,CASTILLEJOS,43088.13,2016,4479092.74,441146.7116
64,ALMENARA,27278.71,2016,4480229.372,441142.6001
65,VALDEACEDERAS,26847.5,2016,4479832.029,440304.6074
66,BERRUGUETE,27221.07,2016,4479011.421,440230.3974
71,GAZTAMBIDE,41122.26,2016,4476283.322,439389.8945
72,ARAPILES,41590.12,2016,4476214.595,439947.5584
73,TRAFALGAR,38017.92,2016,4476037.29,440530.8517
74,ALMAGRO,65706.48,2016,4476032.059,441174.9953
75,RÍOS ROSAS,45063.93,2016,4477096.745,440826.6665
76,VALLEHERMOSO,56802.09,2016,4477158.887,439682.3814
81,EL PARDO,35555.13,2016,4489409.578,435018.7103
82,FUENTELAREINA,83047.42,2016,4481421.762,437127.6497
83,PEÑAGRANDE,39527.24,2016,4481152.656,438480.3153
