COD_DISBAR,BARRIOS,ANIO,LATITUD,LONGITUD,NRO_PERSONAS
71,GAZTAMBIDE,2019,4476283.322,439389.8945,9104.0
72,ARAPILES,2016,4476214.595,439947.5584,9538.0
72,ARAPILES,2018,4476214.595,439947.5584,9829.0
72,ARAPILES,2019,4476214.595,439947.5584,10014.0
73,TRAFALGAR,2016,4476037.29,440530.8517,10266.0
73,TRAFALGAR,2018,4476037.29,440530.8517,10351.0
73,TRAFALGAR,2019,4476037.29,440530.8517,10518.0
74,ALMAGRO,2016,4476032.059,441174.9953,7445.0
74,ALMAGRO,2018,4476032.059,441174.9953,7523.0
74,ALMAGRO,2019,4476032.059,441174.9953,7527.0
75,RÍOS ROSAS,2016,4477096.745,440826.6665,10634.0
75,RÍOS ROSAS,2018,4477096.745,440826.6665,10750.0
75,RÍOS ROSAS,2019,4477096.745,440826.6665,10931.0
76,VALLEHERMOSO,2016,4477158.887,439682.3814,6875.0
76,VALLEHERMOSO,2018,4477158.887,439682.3814,7024.0
76,VALLEHERMOSO,2019,4477158.887,439682.3814,7124.0
81,EL PARDO,2016,4489409.578,435018.7103,1235.0
81,EL PARDO,2018,4489409.578,435018.7103,1258.0
81,EL PARDO,2019,4489409.578,435018.7103,1246.0
82,FUENTELAREINA,2016,4481421.762,437127.6497,1062.0
82,FUENTELAREINA,2018,4481421.762,437127.6497,1040.0
82,FUENTELAREINA,2019,4481421.762,437127.6497,1044.0
83,PEÑAGRANDE,2016,4481152.656,438480.3153,15848.0
83,PEÑAGRANDE,2018,4481152.656,438480.3153,15486.0
83,PEÑAGRANDE,2019,4481152.656,438480.3153,15302.0
84,PILAR,2016,4480959.021,439853.0231,16491.0
85,LA PAZ,2016,4481394.724,440957.8603,11821.0
85,LA PAZ,2018,4481394.724,440957.8603,11279.0
85,LA PAZ,2019,4481394.724,440957.8603,11042.0
86,VALVERDE,2016,4483501.173,442483.6118,24831.0
86,VALVERDE,2018,4483501.173,442483.6118,25268.0
86,VALVERDE,2019,4483501.173,442483.6118,25208.0
87,MIRASIERRA,2016,4483094.181,439024.2924,10788.0
87,MIRASIERRA,2018,4483094.181,439024.2924,11838.0
87,MIRASIERRA,2019,4483094.181,439024.2924,12039.0
88,EL GOLOSO,2016,4487307.227,440716.0024,7273.0
88,EL GOLOSO,2018,4487307.227,440716.0024,7243.0
88,EL GOLOSO,2019,4487307.227,440716.0024,7152.0
91,CASA DE CAMPO,2016,4475050.323,436118.4975,4385.0
91,CASA DE CAMPO,2018,4475050.323,436118.4975,4489.0
91,CASA DE CAMPO,2019,4475050.323,436118.4975,4543.0
92,ARGÜELLES,2016,4475533.294,439109.0847,9275.0
92,ARGÜELLES,2018,4475533.294,439109.0847,9156.0
92,ARGÜELLES,2019,4475533.294,439109.0847,9212.0
93,CIUDAD UNIVERSITARIA,2016,4478627.02,437391.5065,5868.0
93,CIUDAD UNIVERSITARIA,2018,4478627.02,437391.5065,5866.0
93,CIUDAD UNIVERSITARIA,2019,4478627.02,437391.5065,5962.0
94,VALDEZARZA,2016,4479644.899,439188.6628,10747.0
94,VALDEZARZA,2018,4479644.899,439188.6628,10653.0
94,VALDEZARZA,2019,4479644.899,439188.6628,10857.0
95,VALDEMARÍN,2016,4480009.063,433968.0416,2263.0
95,VALDEMARÍN,2018,4480009.063,433968.0416,2281.0
95,VALDEMARÍN,2019,4480009.063,433968.0416,2343.0
96,EL PLANTÍO,2016,4480219.592,430409.7127,902.0
96,EL PLANTÍO,2018,4480219.592,430409.7127,903.0
96,EL PLANTÍO,2019,4480219.592,430409.7127,932.0
97,ARAVACA,2016,4478516.428,433939.3352,9487.0
97,ARAVACA,2018,4478516.428,433939.3352,9570.0
97,ARAVACA,2019,4478516.428,433939.3352,9784.0
101,LOS CÁRMENES,2016,4472579.69,437550.3787,6369.0
