COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
164,PINAR DEL REY,3257.0,2016,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,1025.0,2016,4480844.351,444105.2521
166,VALDEFUENTES,2013.0,2016,4482753.289,446176.0779
172,SAN CRISTÓBAL,1751.0,2016,4465820.907,441533.8022
173,BUTARQUE,1136.0,2016,4465394.096,442559.7779
174,LOS ROSALES,2973.0,2016,4467464.76,441536.5956
175,LOS ÁNGELES,2248.0,2016,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,6180.0,2016,4466332.267,447496.1334
182,SANTA EUGENIA,1734.0,2016,4470494.392,448110.1432
191,CASCO HISTÓRICO DE VICÁLVARO,3475.0,2016,4471000.988,450789.392
201,SIMANCAS,1987.0,2016,4476263.737,446981.6721
202,HELLÍN,833.0,2016,4475772.544,447680.4837
203,AMPOSTA,853.0,2016,4475241.334,447234.3454
204,ARCOS,1911.0,2016,4474693.643,447607.4973
205,ROSAS,1501.0,2016,4475395.532,449590.4285
206,REJAS,791.0,2016,4477317.169,451648.3991
207,CANILLEJAS,2001.0,2016,4477135.693,448224.083
208,SALVADOR,530.0,2016,4477373.192,446491.5939
211,ALAMEDA DE OSUNA,751.0,2016,4478581.448,449818.2184
212,AEROPUERTO,140.0,2016,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,539.0,2016,4480530.185,450931.3676
214,TIMÓN,531.0,2016,4480810.557,448842.3002
215,CORRALEJOS,232.0,2016,4479457.295,448527.2781
11,PALACIO,1274.0,2018,4474110.875,439417.7914
12,EMBAJADORES,2907.0,2018,4473417.211,440397.1764
13,CORTES,518.0,2018,4474035.577,440880.1521
14,JUSTICIA,785.0,2018,4475014.208,440900.7625
15,UNIVERSIDAD,1552.0,2018,4475244.247,440020.8477
16,SOL,410.0,2018,4474314.564,440226.8442
21,IMPERIAL,993.0,2018,4473089.616,439045.6199
24,LEGAZPI,666.0,2018,4471151.447,441682.9396
26,PALOS DE MOGUER,1245.0,2018,4472774.286,441057.6445
27,ATOCHA,62.0,2018,4472353.007,442131.2346
31,PACÍFICO,1257.0,2018,4472859.079,442407.5013
32,ADELFAS,770.0,2018,4472494.747,443062.2345
34,IBIZA,735.0,2018,4474469.277,442791.7959
36,NIÑO JESÚS,412.0,2018,4473660.907,442862.905
41,RECOLETOS,379.0,2018,4475110.43,441820.8979
42,GOYA,961.0,2018,4475153.753,442789.9119
43,FUENTE DEL BERRO,773.0,2018,4475116.489,443691.2602
44,GUINDALERA,1473.0,2018,4476402.061,443463.5845
45,LISTA,699.0,2018,4475927.641,442676.6687
46,CASTELLANA,389.0,2018,4476104.298,441959.5528
51,EL VISO,362.0,2018,4477360.964,441927.2958
52,PROSPERIDAD,1442.0,2018,4477279.652,443241.5164
53,CIUDAD JARDÍN,731.0,2018,4477733.182,442929.7851
54,HISPANOAMÉRICA,899.0,2018,4478520.651,442584.7337
55,NUEVA ESPAÑA,554.0,2018,4479342.236,442506.6745
56,CASTILLA,533.0,2018,4480625.699,442382.2751
61,BELLAS VISTAS,1420.0,2018,4478217.699,439996.5425
62,CUATRO CAMINOS,1359.0,2018,4478108.124,440893.969
63,CASTILLEJOS,791.0,2018,4479092.74,441146.7116
64,ALMENARA,1591.0,2018,4480229.372,441142.6001
65,VALDEACEDERAS,1429.0,2018,4479832.029,440304.6074
66,BERRUGUETE,1250.0,2018,4479011.421,440230.3974
71,GAZTAMBIDE,835.0,2018,4476283.322,439389.8945
72,ARAPILES,871.0,2018,4476214.595,439947.5584
73,TRAFALGAR,904.0,2018,4476037.29,440530.8517
74,ALMAGRO,514.0,2018,4476032.059,441174.9953
75,RÍOS ROSAS,864.0,2018,4477096.745,440826.6665
