COD_DISBAR,BARRIOS,TIPO_VIVIENDA,PRECIO(EUROS/M2),ANIO,LATITUD,LONGITUD
143,MARROQUINA,USADAS,2011.84,2016,4473543.376,445646.4672
144,MEDIA LEGUA,USADAS,1766.85,2016,4473682.217,444272.189
145,FONTARRÓN,USADAS,1609.14,2016,4472512.703,445115.9638
146,VINATEROS,USADAS,1756.05,2016,4472936.191,445482.8128
151,VENTAS,USADAS,1781.37,2016,4474850.803,445079.4926
152,PUEBLO NUEVO,USADAS,1667.61,2016,4475266.901,446095.6831
153,QUINTANA,USADAS,2091.45,2016,4476462.964,445289.7605
154,CONCEPCIÓN,USADAS,2520.92,2016,4476721.345,444934.1577
155,SAN PASCUAL,USADAS,2928.67,2016,4477117.637,444582.4
156,SAN JUAN BAUTISTA,USADAS,3117.85,2016,4477988.461,444343.151
157,COLINA,USADAS,3517.53,2016,4478807.34,444014.4325
158,ATALAYA,USADAS,0.0,2016,4479501.192,443626.7881
159,COSTILLARES,USADAS,3384.04,2016,4480877.84,443334.1197
161,PALOMAS,USADAS,3278.68,2016,4478175.942,447754.9382
162,PIOVERA,USADAS,4001.78,2016,4478532.529,446151.4886
163,CANILLAS,USADAS,2381.41,2016,4479433.42,445426.2189
164,PINAR DEL REY,USADAS,1511.35,2016,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,USADAS,2008.95,2016,4480844.351,444105.2521
166,VALDEFUENTES,USADAS,3483.88,2016,4482753.289,446176.0779
171,"VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE",USADAS,1188.38,2016,4465896.736,439786.7051
172,SAN CRISTÓBAL,USADAS,989.59,2016,4465820.907,441533.8022
173,BUTARQUE,USADAS,1629.0,2016,4465394.096,442559.7779
174,LOS ROSALES,USADAS,1225.4,2016,4467464.76,441536.5956
175,LOS ÁNGELES,USADAS,1206.77,2016,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,USADAS,1756.9,2016,4466332.267,447496.1334
182,SANTA EUGENIA,USADAS,1555.49,2016,4470494.392,448110.1432
191,CASCO HISTÓRICO DE VICÁLVARO,USADAS,1820.39,2016,4471000.988,450789.392
192,VALDEBERNARDO,USADAS,1429.16,2016,4471960.93,447585.5543
201,SIMANCAS,USADAS,1736.97,2016,4476263.737,446981.6721
202,HELLÍN,USADAS,1050.04,2016,4475772.544,447680.4837
203,AMPOSTA,USADAS,1084.97,2016,4475241.334,447234.3454
204,ARCOS,USADAS,1480.12,2016,4474693.643,447607.4973
