BARRIOS,ANIO,PRECIO(EUROS/M2),PORCENTAJE_EVOLUCION
ENTREVÍAS,2016,1144.19,0.0
ENTREVÍAS,2018,1310.91,14.57
ENTREVÍAS,2019,1634.26,24.67
ESTRELLA,2016,2841.38,0.0
ESTRELLA,2018,3721.52,30.98
ESTRELLA,2019,4076.81,9.55
FONTARRÓN,2016,1609.14,0.0
FONTARRÓN,2018,2090.53,29.92
FONTARRÓN,2019,2306.92,10.35
FUENTE DEL BERRO,2016,3411.84,0.0
FUENTE DEL BERRO,2018,4724.5,38.47
FUENTE DEL BERRO,2019,4797.72,1.55
FUENTELAREINA,2016,0.0,0.0
FUENTELAREINA,2018,3580.61,inf
FUENTELAREINA,2019,3762.46,5.08
GAZTAMBIDE,2016,3485.32,0.0
GAZTAMBIDE,2018,4811.86,38.06
GAZTAMBIDE,2019,5501.27,14.33
GOYA,2016,3974.29,0.0
GOYA,2018,5569.25,40.13
GOYA,2019,5879.9,5.58
GUINDALERA,2016,3062.03,0.0
GUINDALERA,2018,4078.31,33.19
GUINDALERA,2019,4570.75,12.07
HELLÍN,2016,1050.04,0.0
HELLÍN,2018,1471.98,40.18
HELLÍN,2019,1595.82,8.41
HISPANOAMÉRICA,2016,3885.08,0.0
HISPANOAMÉRICA,2018,4961.22,27.7
HISPANOAMÉRICA,2019,5488.27,10.62
HORCAJO,2016,0.0,0.0
HORCAJO,2018,3098.05,inf
HORCAJO,2019,0.0,-100.0
IBIZA,2016,3829.53,0.0
IBIZA,2018,5114.85,33.56
IBIZA,2019,5469.24,6.93
IMPERIAL,2016,2681.34,0.0
IMPERIAL,2018,3402.02,26.88
IMPERIAL,2019,3866.36,13.65
JERÓNIMOS,2016,4203.64,0.0
JERÓNIMOS,2018,6004.08,42.83
JERÓNIMOS,2019,6715.19,11.84
JUSTICIA,2016,4346.32,0.0
JUSTICIA,2018,5882.35,35.34
JUSTICIA,2019,5943.46,1.04
LA PAZ,2016,2790.71,0.0
LA PAZ,2018,3420.08,22.55
LA PAZ,2019,3674.34,7.43
LAS ÁGUILAS,2016,1595.35,0.0
LAS ÁGUILAS,2018,1944.19,21.87
LAS ÁGUILAS,2019,2175.83,11.91
LEGAZPI,2016,3233.35,0.0
LEGAZPI,2018,4208.88,30.17
LEGAZPI,2019,4572.26,8.63
LISTA,2016,3941.14,0.0
LISTA,2018,5504.62,39.67
LISTA,2019,5934.33,7.81
LOS CÁRMENES,2016,1544.15,0.0
LOS CÁRMENES,2018,1983.09,28.43
LOS CÁRMENES,2019,2427.96,22.43
LOS ROSALES,2016,1225.4,0.0
LOS ROSALES,2018,1514.28,23.57
LOS ROSALES,2019,1775.53,17.25
LOS ÁNGELES,2016,1206.77,0.0
LOS ÁNGELES,2018,1393.89,15.51
LOS ÁNGELES,2019,1675.31,20.19
LUCERO,2016,1551.17,0.0
LUCERO,2018,2066.87,33.25
LUCERO,2019,2239.02,8.33
MARROQUINA,2016,2011.84,0.0
MARROQUINA,2018,2669.81,32.7
MARROQUINA,2019,2910.6,9.02
MEDIA LEGUA,2016,1766.85,0.0
MEDIA LEGUA,2018,2228.49,26.13
MEDIA LEGUA,2019,2611.52,17.19
MIRASIERRA,2016,3394.26,0.0
MIRASIERRA,2018,4267.97,25.74
MIRASIERRA,2019,4314.16,1.08
MOSCARDÓ,2016,1367.85,0.0
MOSCARDÓ,2018,1958.46,43.18
MOSCARDÓ,2019,2117.73,8.13
NIÑO JESÚS,2016,3840.13,0.0
NIÑO JESÚS,2018,4922.28,28.18
NIÑO JESÚS,2019,5524.82,12.24
NUEVA ESPAÑA,2016,4611.8,0.0
NUEVA ESPAÑA,2018,5739.83,24.46
NUEVA ESPAÑA,2019,6382.51,11.2
NUMANCIA,2016,1433.89,0.0
NUMANCIA,2018,1777.46,23.96
NUMANCIA,2019,2008.42,12.99
OPAÑEL,2016,1530.1,0.0
OPAÑEL,2018,1983.76,29.65
OPAÑEL,2019,2223.6,12.09
ORCASITAS,2016,1427.08,0.0
ORCASITAS,2018,1603.47,12.36
ORCASITAS,2019,1828.99,14.06
ORCASUR,2016,1350.92,0.0
ORCASUR,2018,2198.64,62.75
ORCASUR,2019,1723.88,-21.59
PACÍFICO,2016,2864.12,0.0
PACÍFICO,2018,3932.71,37.31
PACÍFICO,2019,4275.14,8.71
PALACIO,2016,3257.02,0.0
PALACIO,2018,4105.46,26.05
PALACIO,2019,5044.74,22.88
PALOMAS,2016,3278.68,0.0
PALOMAS,2018,3936.34,20.06
PALOMAS,2019,4222.62,7.27
PALOMERAS BAJAS,2016,1343.36,0.0
PALOMERAS BAJAS,2018,1743.54,29.79
PALOMERAS BAJAS,2019,1867.3,7.1
PALOMERAS SURESTE,2016,1247.72,0.0
PALOMERAS SURESTE,2018,1545.79,23.89
PALOMERAS SURESTE,2019,1645.75,6.47
PALOS DE MOGUER,2016,2516.86,0.0
PALOS DE MOGUER,2018,3766.91,49.67
PALOS DE MOGUER,2019,3817.67,1.35
PAVONES,2016,1591.57,0.0
PAVONES,2018,2169.63,36.32
PAVONES,2019,2035.41,-6.19
PEÑAGRANDE,2016,2309.64,0.0
PEÑAGRANDE,2018,3119.41,35.06
PEÑAGRANDE,2019,3504.14,12.33
PILAR,2016,2377.1,0.0
PILAR,2018,3133.02,31.8
PILAR,2019,3475.77,10.94
PINAR DEL REY,2016,1511.35,0.0
PINAR DEL REY,2018,2699.23,78.6
PINAR DEL REY,2019,2724.67,0.94
PIOVERA,2016,4001.78,0.0
PIOVERA,2018,4698.65,17.41
PIOVERA,2019,4728.02,0.63
PORTAZGO,2016,1246.38,0.0
PORTAZGO,2018,1573.61,26.25
PORTAZGO,2019,1757.68,11.7
PRADOLONGO,2016,1396.46,0.0
PRADOLONGO,2018,1329.35,-4.81
PRADOLONGO,2019,1879.58,41.39
PROSPERIDAD,2016,3025.05,0.0
PROSPERIDAD,2018,4146.74,37.08
PROSPERIDAD,2019,4418.18,6.55
PUEBLO NUEVO,2016,1667.61,0.0
PUEBLO NUEVO,2018,2257.47,35.37
PUEBLO NUEVO,2019,2422.36,7.3
PUERTA BONITA,2016,1465.82,0.0
PUERTA BONITA,2018,1716.99,17.14
PUERTA BONITA,2019,1955.29,13.88
PUERTA DEL ÁNGEL,2016,1668.92,0.0
PUERTA DEL ÁNGEL,2018,2338.19,40.1
PUERTA DEL ÁNGEL,2019,2579.8,10.33
QUINTANA,2016,2091.45,0.0
QUINTANA,2018,2683.15,28.29
QUINTANA,2019,3144.46,17.19
RECOLETOS,2016,5894.08,0.0
RECOLETOS,2018,7522.17,27.62
RECOLETOS,2019,8553.75,13.71
REJAS,2016,2091.98,0.0
REJAS,2018,2662.79,27.29
REJAS,2019,1809.67,-32.04
ROSAS,2016,2636.38,0.0
ROSAS,2018,3027.97,14.85
ROSAS,2019,3282.67,8.41
RÍOS ROSAS,2016,3959.44,0.0
RÍOS ROSAS,2018,5110.11,29.06
RÍOS ROSAS,2019,5449.13,6.63
SALVADOR,2016,2653.82,0.0
SALVADOR,2018,3140.61,18.34
SALVADOR,2019,3386.02,7.81
SAN CRISTÓBAL,2016,989.59,0.0
SAN CRISTÓBAL,2018,1086.98,9.84
SAN CRISTÓBAL,2019,1307.73,20.31
SAN DIEGO,2016,1331.9,0.0
SAN DIEGO,2018,1659.41,24.59
SAN DIEGO,2019,1960.52,18.15
SAN FERMÍN,2016,1415.34,0.0
SAN FERMÍN,2018,1653.63,16.84
SAN FERMÍN,2019,1853.25,12.07
SAN ISIDRO,2016,1618.73,0.0
