BARRIOS,ANIO,NRO_HOSPEDAJES,PORCENTAJE_EVOLUCION
NIÑO JESÚS,2018,5,0.0
NIÑO JESÚS,2019,26,420.0
NUEVA ESPAÑA,2018,2,0.0
NUEVA ESPAÑA,2019,39,1850.0
NUMANCIA,2016,1,0.0
NUMANCIA,2018,16,1500.0
NUMANCIA,2019,128,700.0
OPAÑEL,2016,1,0.0
OPAÑEL,2018,11,1000.0
OPAÑEL,2019,57,418.18
ORCASITAS,2019,4,0.0
ORCASUR,2018,2,0.0
ORCASUR,2019,21,950.0
PACÍFICO,2016,2,0.0
PACÍFICO,2018,10,400.0
PACÍFICO,2019,129,1190.0
PALACIO,2016,19,0.0
PALACIO,2018,102,436.84
PALACIO,2019,1088,966.67
PALOMAS,2018,1,0.0
PALOMAS,2019,15,1400.0
PALOMERAS BAJAS,2018,8,0.0
PALOMERAS BAJAS,2019,45,462.5
PALOMERAS SURESTE,2016,1,0.0
PALOMERAS SURESTE,2018,2,100.0
PALOMERAS SURESTE,2019,32,1500.0
PALOS DE MOGUER,2016,6,0.0
PALOS DE MOGUER,2018,20,233.33
PALOS DE MOGUER,2019,249,1145.0
PAVONES,2018,1,0.0
PAVONES,2019,3,200.0
PEÑAGRANDE,2018,4,0.0
PEÑAGRANDE,2019,37,825.0
PILAR,2016,1,0.0
PILAR,2018,5,400.0
PILAR,2019,36,620.0
PINAR DEL REY,2018,6,0.0
PINAR DEL REY,2019,50,733.33
PIOVERA,2018,2,0.0
PIOVERA,2019,11,450.0
PORTAZGO,2018,5,0.0
PORTAZGO,2019,22,340.0
PRADOLONGO,2019,41,0.0
PROSPERIDAD,2016,3,0.0
PROSPERIDAD,2018,13,333.33
PROSPERIDAD,2019,78,500.0
PUEBLO NUEVO,2018,7,0.0
PUEBLO NUEVO,2019,72,928.57
PUERTA BONITA,2016,1,0.0
PUERTA BONITA,2018,1,0.0
PUERTA BONITA,2019,38,3700.0
PUERTA DEL ÁNGEL,2016,2,0.0
PUERTA DEL ÁNGEL,2018,23,1050.0
PUERTA DEL ÁNGEL,2019,191,730.43
QUINTANA,2016,1,0.0
QUINTANA,2018,5,400.0
QUINTANA,2019,70,1300.0
RECOLETOS,2016,3,0.0
RECOLETOS,2018,20,566.67
RECOLETOS,2019,191,855.0
REJAS,2018,4,0.0
REJAS,2019,34,750.0
ROSAS,2018,1,0.0
ROSAS,2019,30,2900.0
RÍOS ROSAS,2016,1,0.0
RÍOS ROSAS,2018,15,1400.0
RÍOS ROSAS,2019,112,646.67
SALVADOR,2016,1,0.0
SALVADOR,2018,1,0.0
SALVADOR,2019,16,1500.0
SAN CRISTÓBAL,2019,13,0.0
SAN DIEGO,2016,3,0.0
SAN DIEGO,2018,9,200.0
SAN DIEGO,2019,123,1266.67
SAN FERMÍN,2018,3,0.0
SAN FERMÍN,2019,30,900.0
SAN ISIDRO,2016,2,0.0
SAN ISIDRO,2018,10,400.0
SAN ISIDRO,2019,100,900.0
SAN JUAN BAUTISTA,2018,2,0.0
SAN JUAN BAUTISTA,2019,18,800.0
SAN PASCUAL,2016,1,0.0
SAN PASCUAL,2018,3,200.0
SAN PASCUAL,2019,15,400.0
SANTA EUGENIA,2019,6,0.0
SIMANCAS,2016,1,0.0
SIMANCAS,2018,3,200.0
SIMANCAS,2019,53,1666.67
SOL,2016,16,0.0
SOL,2018,91,468.75
SOL,2019,1026,1027.47
TIMÓN,2018,3,0.0
TIMÓN,2019,35,1066.67
TRAFALGAR,2016,9,0.0
TRAFALGAR,2018,33,266.67
TRAFALGAR,2019,222,572.73
UNIVERSIDAD,2016,17,0.0
UNIVERSIDAD,2018,135,694.12
UNIVERSIDAD,2019,1428,957.78
VALDEACEDERAS,2016,1,0.0
VALDEACEDERAS,2018,6,500.0
VALDEACEDERAS,2019,68,1033.33
VALDEFUENTES,2016,1,0.0
VALDEFUENTES,2018,6,500.0
VALDEFUENTES,2019,56,833.33
VALDEMARÍN,2019,1,0.0
VALDEZARZA,2016,1,0.0
VALDEZARZA,2018,3,200.0
