BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
FUENTE DEL BERRO,2016,8287.0,0.0
FUENTE DEL BERRO,2018,8799.0,6.18
FUENTE DEL BERRO,2019,9197.0,4.52
FUENTELAREINA,2016,1512.0,0.0
FUENTELAREINA,2018,1539.0,1.79
FUENTELAREINA,2019,1580.0,2.66
GAZTAMBIDE,2016,10474.0,0.0
GAZTAMBIDE,2018,10931.0,4.36
GAZTAMBIDE,2019,11291.0,3.29
GOYA,2016,13465.0,0.0
GOYA,2018,14450.0,7.32
GOYA,2019,14733.0,1.96
GUINDALERA,2016,17798.0,0.0
GUINDALERA,2018,18867.0,6.01
GUINDALERA,2019,19439.0,3.03
HELLÍN,2016,672.0,0.0
HELLÍN,2018,818.0,21.73
HELLÍN,2019,918.0,12.22
HISPANOAMÉRICA,2016,14753.0,0.0
HISPANOAMÉRICA,2018,15386.0,4.29
HISPANOAMÉRICA,2019,15812.0,2.77
HORCAJO,2016,1772.0,0.0
HORCAJO,2018,1825.0,2.99
HORCAJO,2019,1864.0,2.14
IBIZA,2016,9135.0,0.0
IBIZA,2018,9618.0,5.29
IBIZA,2019,9935.0,3.3
IMPERIAL,2016,8537.0,0.0
IMPERIAL,2018,9006.0,5.49
IMPERIAL,2019,9284.0,3.09
JERÓNIMOS,2016,3360.0,0.0
JUSTICIA,2016,7755.0,0.0
JUSTICIA,2018,8170.0,5.35
JUSTICIA,2019,8632.0,5.65
LA PAZ,2016,14606.0,0.0
LA PAZ,2018,14919.0,2.14
LA PAZ,2019,15071.0,1.02
LAS ÁGUILAS,2016,7925.0,0.0
LAS ÁGUILAS,2018,8336.0,5.19
LAS ÁGUILAS,2019,8695.0,4.31
LEGAZPI,2016,7942.0,0.0
LEGAZPI,2018,8505.0,7.09
LEGAZPI,2019,8860.0,4.17
LISTA,2016,9647.0,0.0
LISTA,2018,10241.0,6.16
LISTA,2019,10502.0,2.55
LOS CÁRMENES,2016,2827.0,0.0
LOS CÁRMENES,2018,3016.0,6.69
LOS CÁRMENES,2019,3120.0,3.45
LOS ROSALES,2016,4255.0,0.0
LOS ROSALES,2018,4467.0,4.98
LOS ROSALES,2019,4649.0,4.07
LOS ÁNGELES,2016,3706.0,0.0
LOS ÁNGELES,2018,3925.0,5.91
LOS ÁNGELES,2019,4197.0,6.93
LUCERO,2016,6275.0,0.0
LUCERO,2018,6692.0,6.65
LUCERO,2019,7080.0,5.8
MARROQUINA,2016,7262.0,0.0
MARROQUINA,2018,7588.0,4.49
MARROQUINA,2019,7830.0,3.19
MEDIA LEGUA,2016,4178.0,0.0
MEDIA LEGUA,2018,4381.0,4.86
MEDIA LEGUA,2019,4547.0,3.79
MIRASIERRA,2016,12302.0,0.0
MIRASIERRA,2018,13863.0,12.69
MIRASIERRA,2019,14398.0,3.86
MOSCARDÓ,2016,3481.0,0.0
MOSCARDÓ,2018,3769.0,8.27
MOSCARDÓ,2019,4047.0,7.38
NIÑO JESÚS,2016,7380.0,0.0
NIÑO JESÚS,2018,7592.0,2.87
NIÑO JESÚS,2019,7714.0,1.61
NUEVA ESPAÑA,2016,11668.0,0.0
NUEVA ESPAÑA,2018,12462.0,6.8
NUEVA ESPAÑA,2019,12727.0,2.13
NUMANCIA,2016,5471.0,0.0
NUMANCIA,2018,5994.0,9.56
NUMANCIA,2019,6419.0,7.09
OPAÑEL,2016,5383.0,0.0
OPAÑEL,2018,5900.0,9.6
OPAÑEL,2019,6273.0,6.32
