BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
CIUDAD UNIVERSITARIA,2019,5962.0,1.64
VALDEZARZA,2016,10747.0,0.0
VALDEZARZA,2018,10653.0,-0.87
VALDEZARZA,2019,10857.0,1.91
VALDEMARÍN,2016,2263.0,0.0
VALDEMARÍN,2018,2281.0,0.8
VALDEMARÍN,2019,2343.0,2.72
EL PLANTÍO,2016,902.0,0.0
EL PLANTÍO,2018,903.0,0.11
EL PLANTÍO,2019,932.0,3.21
ARAVACA,2016,9487.0,0.0
ARAVACA,2018,9570.0,0.87
ARAVACA,2019,9784.0,2.24
LOS CÁRMENES,2016,6369.0,0.0
LOS CÁRMENES,2018,6410.0,0.64
LOS CÁRMENES,2019,6532.0,1.9
PUERTA DEL ÁNGEL,2016,16291.0,0.0
PUERTA DEL ÁNGEL,2018,16505.0,1.31
PUERTA DEL ÁNGEL,2019,16721.0,1.31
LUCERO,2016,12936.0,0.0
LUCERO,2018,13018.0,0.63
LUCERO,2019,13372.0,2.72
ALUCHE,2016,22819.0,0.0
ALUCHE,2018,22425.0,-1.73
ALUCHE,2019,22593.0,0.75
CAMPAMENTO,2016,7057.0,0.0
CAMPAMENTO,2018,6977.0,-1.13
CAMPAMENTO,2019,7098.0,1.73
CUATRO VIENTOS,2016,2535.0,0.0
CUATRO VIENTOS,2018,2601.0,2.6
CUATRO VIENTOS,2019,2511.0,-3.46
LAS ÁGUILAS,2016,17227.0,0.0
LAS ÁGUILAS,2018,16774.0,-2.63
LAS ÁGUILAS,2019,16864.0,0.54
COMILLAS,2016,8382.0,0.0
COMILLAS,2018,8374.0,-0.1
COMILLAS,2019,8536.0,1.93
OPAÑEL,2016,12277.0,0.0
OPAÑEL,2018,12765.0,3.97
OPAÑEL,2019,13052.0,2.25
SAN ISIDRO,2016,14920.0,0.0
SAN ISIDRO,2018,15216.0,1.98
SAN ISIDRO,2019,15529.0,2.06
VISTA ALEGRE,2016,16674.0,0.0
VISTA ALEGRE,2018,16979.0,1.83
VISTA ALEGRE,2019,17622.0,3.79
PUERTA BONITA,2016,12933.0,0.0
PUERTA BONITA,2018,13317.0,2.97
PUERTA BONITA,2019,13895.0,4.34
