BARRIOS,RENTA_MEDIA,ANIO,PORCENTAJE_EVOLUCION
FUENTE DEL BERRO,38598.72,2016,0.0
FUENTE DEL BERRO,40503.56,2018,4.93
FUENTE DEL BERRO,41675.79,2019,2.89
FUENTELAREINA,83047.42,2016,0.0
FUENTELAREINA,98155.79,2018,18.19
FUENTELAREINA,79413.25,2019,-19.09
GAZTAMBIDE,41122.26,2016,0.0
GAZTAMBIDE,42607.64,2018,3.61
GAZTAMBIDE,45820.97,2019,7.54
GOYA,46913.76,2016,0.0
GOYA,48814.74,2018,4.05
GOYA,50739.08,2019,3.94
GUINDALERA,44361.02,2016,0.0
GUINDALERA,46340.87,2018,4.46
GUINDALERA,46915.95,2019,1.24
HELLÍN,22647.07,2016,0.0
HELLÍN,23534.75,2018,3.92
HELLÍN,28800.95,2019,22.38
HISPANOAMÉRICA,58862.06,2016,0.0
HISPANOAMÉRICA,62635.35,2018,6.41
HISPANOAMÉRICA,63487.38,2019,1.36
HORCAJO,41912.72,2016,0.0
HORCAJO,45040.73,2018,7.46
HORCAJO,45263.19,2019,0.49
IBIZA,43021.35,2016,0.0
IBIZA,45561.14,2018,5.9
IBIZA,46829.0,2019,2.78
IMPERIAL,39919.81,2016,0.0
IMPERIAL,41950.81,2018,5.09
IMPERIAL,35479.45,2019,-15.43
JERÓNIMOS,61916.32,2016,0.0
JUSTICIA,36413.54,2016,0.0
JUSTICIA,40314.88,2018,10.71
JUSTICIA,41584.0,2019,3.15
LA PAZ,56953.1,2016,0.0
LA PAZ,58457.38,2018,2.64
LA PAZ,59243.29,2019,1.34
LAS ÁGUILAS,28990.16,2016,0.0
LAS ÁGUILAS,29910.45,2018,3.17
LAS ÁGUILAS,30302.52,2019,1.31
LEGAZPI,45690.83,2016,0.0
LEGAZPI,48935.04,2018,7.1
LEGAZPI,50472.0,2019,3.14
LISTA,45891.16,2016,0.0
LISTA,47375.42,2018,3.23
LISTA,49641.19,2019,4.78
LOS CÁRMENES,27624.36,2016,0.0
